NavioShip,OperaçOperat,BandeiraFlag,Cheg/Arrivald/m/y,MercadoriaGoods,PesoWeight
GOODWOOD,EMB,LIBERIANA,07/02/2025 06:00:00,VEICULO,9800
BRAM ATLAS,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
BRAM ATLAS,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
BRAM TITAN,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
BRAM TITAN,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
C TEMPORAL,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
CBO FLAMENGO,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
HOS REMINGTON,EMB,MEXICANA,21/01/2025,CARGA GERAL,1
HOS TAURUS (REB),EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
NORMAND MAXIMUS,EMB,NORUEGUESA,21/01/2025,CARGA GERAL,1
SKANDI AMAZONAS,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
SKANDI AMAZONAS,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
SKANDI ANGRA,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
SKANDI ANGRA,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
SKANDI IGUAÇU,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
SKANDI IGUAÇU,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
HOS COLT,EMB,MEXICANA,01/02/2025 06:00:00,CARGA GERAL,1
HOS REMINGTON,EMB,MEXICANA,07/02/2025 06:00:00,CARGA GERAL,1
HOS TAURUS (REB),EMB,BRASILEIRA,17/02/2025 06:00:00,CARGA GERAL,1
CBO FLAMENGO,EMB,BRASILEIRA,20/02/2025 06:00:00,CARGA GERAL,1
HOS COLT,EMB,MEXICANA,20/02/2025 06:00:00,CARGA GERAL,1
NORMAND MAXIMUS,EMB,NORUEGUESA,15/03/2025 06:00:00,CARGA GERAL,1
