Chegada,Embarcação,Mercadoria,Saldo Total,Sentido
,AVAX,OLEO DE SOJA,,Exp
,SAN RAPHAEL MAERSK,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,MSC ARMONIA,PASSAGEIROS,,Imp/Exp
,LEONARDO,AÇÚCAR,,Exp
,IOLCOS AMBITION,MILHO,,Exp
,NC BRUMA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,ROSANNA,SULFATO DE AMONIO,,Imp
,PORT NAGASAKI,CLORETOS DE POTASSIO,,Imp
,CARAVOS TRIUMPH,FARELO DE SOJA,,Exp
,DEJIMA,AÇÚCAR,,Exp
,SEASPAN HARRIER,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,IONIC KIZUNA,SOJA,,Exp
,EVER LOVELY,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,GOLDEN SAKURA,AÇÚCAR,,Exp
,HONG PROSPERITY,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,LORD BYRON,SOJA,,Exp
,LYRIC SUN,SOJA,,Exp
,CMA CGM BELEM,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,MSC GAYANE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,MINIMATA,FARELO DE SOJA,,Exp
,MASTRO NIKOS,SOJA,,Exp
,GRAND OCEAN,SOJA,,Exp
,MONTE ROSA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,MSC PEGASUS VII,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,NC BRISA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,DA YU,,,
,CL SEVEN,,,
,MH ARPEGGIO,,,
,HYUNDAI PRESTIGE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
18/01/2025 12:18,MSC ALBANY,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
19/01/2025 20:00,MSC SHUBA B,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
20/01/2025 10:00,SAN ANTONIO MAERSK,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
19/01/2025 15:54,ADRIATIC HIGHWAY,VEICULOS,,Imp/Exp
20/01/2025 19:24,ZIM BALTIMORE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
19/01/2025 06:00,TORM AMORINA,OLEO DE MILHO,,Exp
