Arrival Date,Ship,Product,Volume,Direction,Port
09/01/2025 15:30:00,SUPRA MONARCH,FERTILIZANTES,51115,IMP,SANTOS
11/01/2025 01:13:00,ORIENT FOCUS,ENXOFRE A GRANEL,44029,IMP,SANTOS
11/01/2025 15:16:00,LAOURA,FERTILIZANTES,17499,IMP,SANTOS
16/01/2025 23:30:00,ROSTRUM AMERICA,FERTILIZANTES,21250,IMP,SANTOS
18/01/2025 11:18:00,FEDERAL ST LAURENT,FERTILIZANTES,15998,IMP,SANTOS
18/01/2025 18:00:00,STAR STONINGTON,FERTILIZANTES,49223,IMP,SANTOS
19/01/2025 15:36:00,GLADIATOR,FERTILIZANTES,46541,IMP,SANTOS
19/01/2025 19:00:00,GENCO MADELEINE,FERTILIZANTES,35727,IMP,SANTOS
20/01/2025 20:48:00,SIDER IMABARI,ENXOFRE A GRANEL,32175,IMP,SANTOS
21/01/2025,CAPTAIN D LEMPESIS,FERTILIZANTES,17000,IMP,SANTOS
21/01/2025,EQUINOX STAR,FERTILIZANTES,14170,IMP,SANTOS
21/01/2025 16:12:00,SAGA FALCON,ENXOFRE A GRANEL,35002,IMP,SANTOS
25/01/2025 11:00:00,KIRRIBILLI,FERTILIZANTES,32825,IMP,SANTOS
30/01/2025 10:00:00,LETO,ENXOFRE A GRANEL,41353,IMP,SANTOS
05/02/2025 13:00:00,MUSALA,FERTILIZANTES,13793,IMP,SANTOS
14/12/2024 14:00:00,ALKYONI,ACUCAR A GRANEL,48000,EXP,SANTOS
17/01/2025 09:06:00,HUAN HANG 19,GRAN.SOLIDO NAO ESPECIF,70000,EXP,SANTOS
18/01/2025 07:51:00,MYKONOS,ACUCAR A GRANEL,75000,EXP,SANTOS
20/01/2025 07:00:00,SEA DIAMOND I,ACUCAR A GRANEL,49000,EXP,SANTOS
21/01/2025,SSI DISCOVERY,ACUCAR A GRANEL,60500,EXP,SANTOS
24/01/2025 05:00:00,CMB MATSYS,ACUCAR A GRANEL,43000,EXP,SANTOS
24/01/2025 07:00:00,GU IMABARI,ACUCAR A GRANEL,70000,EXP,SANTOS
24/01/2025 16:26:00,INFINITY SKY,ACUCAR A GRANEL,60000,EXP,SANTOS
25/01/2025 10:00:00,CSSC IMMINGHAM,GRAN.SOLIDO NAO ESPECIF,85000,EXP,SANTOS
20/01/2025 14:00:00,GRANDE NIGERIA,CONTEINERES CHEIOSCONTEINERES CHEIOS,36003600,Other,SANTOS
21/01/2025,GRANDE LAGOS,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200,Other,SANTOS
26/01/2025 01:00:00,GRANDE AMBURGO,CONTEINERES CHEIOSCONTEINERES CHEIOS,3600,EXP,SANTOS
28/01/2025,CHESAPEAKE HIGHWAY,VEICULO,9800,EXP,SANTOS
28/01/2025 06:00:00,ADRIATIC HIGHWAY,VEICULO,9800,EXP,SANTOS
30/01/2025 01:00:00,POLARIS LEADER,VEICULOS/VRS/CCS.RO-ROVEICULOS/VRS/CCS.RO-RO,25002500,Other,SANTOS
02/02/2025 06:00:00,FLORIDA HIGHWAY,VEICULO,9800,EXP,SANTOS
06/02/2025 07:00:00,GLOVIS SKY,VEICULOS/VRS/CCS.RO-ROVEICULOS/VRS/CCS.RO-RO,28005,Other,SANTOS
07/02/2025 06:00:00,GOODWOOD,VEICULO,9800,EXP,SANTOS
21/01/2025,BRAM ATLAS,CARGA GERAL,1,EXP,SANTOS
21/01/2025,BRAM TITAN,CARGA GERAL,1,EXP,SANTOS
21/01/2025,C TEMPORAL,CARGA GERAL,1,EXP,SANTOS
21/01/2025,CBO FLAMENGO,CARGA GERAL,1,EXP,SANTOS
21/01/2025,HOS REMINGTON,CARGA GERAL,1,EXP,SANTOS
21/01/2025,HOS TAURUS (REB),CARGA GERAL,1,EXP,SANTOS
21/01/2025,NORMAND MAXIMUS,CARGA GERAL,1,EXP,SANTOS
21/01/2025,SKANDI AMAZONAS,CARGA GERAL,1,EXP,SANTOS
21/01/2025,SKANDI ANGRA,CARGA GERAL,1,EXP,SANTOS
21/01/2025,SKANDI IGUAÇU,CARGA GERAL,1,EXP,SANTOS
01/02/2025 06:00:00,HOS COLT,CARGA GERAL,1,EXP,SANTOS
